Year,LocationAbbr,LocationDesc,DataSource,TopicType,TopicDesc,MeasureDesc,Variable,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,GeoLocation,Topic Type ID,Topic ID,Measure ID,SubMeasureID,DisplayOrder
2005,KY,Kentucky,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,230.0,,,"KY
(37.645970271000465, -84.77497104799966)",HLT,501HLT,520SAE,SAE002,02
2005,LA,Louisiana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,216.8,,,"LA
(31.31266064400046, -92.44568007099969)",HLT,501HLT,520SAE,SAE002,02
2005,ME,Maine,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,85.1,,,"ME
(45.254228894000505, -68.98503133599962)",HLT,501HLT,520SAE,SAE002,02
2005,MD,Maryland,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,329.3,,,"MD
(39.29058096400047, -76.60926011099963)",HLT,501HLT,520SAE,SAE002,02
2005,MA,Massachusetts,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,436.9,,,"MA
(42.27687047000046, -72.08269067499964)",HLT,501HLT,520SAE,SAE002,02
2005,MI,Michigan,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,509.6,,,"MI
(44.6613195430005, -84.71439026999968)",HLT,501HLT,520SAE,SAE002,02
2005,MN,Minnesota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,318.5,,,"MN
(46.35564873600049, -94.79420050299967)",HLT,501HLT,520SAE,SAE002,02
2005,MS,Mississippi,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,133.6,,,"MS
(32.745510099000455, -89.53803082499968)",HLT,501HLT,520SAE,SAE002,02
2005,MO,Missouri,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,264.2,,,"MO
(38.635790776000476, -92.56630005299968)",HLT,501HLT,520SAE,SAE002,02
2005,MT,Montana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,46.1,,,"MT
(47.06652897200047, -109.42442064499971)",HLT,501HLT,520SAE,SAE002,02
2005,NE,Nebraska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,82.8,,,"NE
(41.6410409880005, -99.36572062299967)",HLT,501HLT,520SAE,SAE002,02
2005,NV,Nevada,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,174.5,,,"NV
(39.493240390000494, -117.07184056399967)",HLT,501HLT,520SAE,SAE002,02
2005,NH,New Hampshire,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,87.9,,,"NH
(43.65595011300047, -71.50036091999965)",HLT,501HLT,520SAE,SAE002,02
2005,NJ,New Jersey,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,571.4,,,"NJ
(40.13057004800049, -74.27369128799967)",HLT,501HLT,520SAE,SAE002,02
2005,NM,New Mexico,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,87.2,,,"NM
(34.52088095200048, -106.24058098499967)",HLT,501HLT,520SAE,SAE002,02
2005,NY,New York,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,1092.7,,,"NY
(42.82700103200045, -75.54397042699964)",HLT,501HLT,520SAE,SAE002,02
2005,NC,North Carolina,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,439.1,,,"NC
(35.466220975000454, -79.15925046299964)",HLT,501HLT,520SAE,SAE002,02
2005,ND,North Dakota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,30.5,,,"ND
(47.47531977900047, -100.11842104899966)",HLT,501HLT,520SAE,SAE002,02
2005,OH,Ohio,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,634.2,,,"OH
(40.06021014100048, -82.40426005599966)",HLT,501HLT,520SAE,SAE002,02
2005,OK,Oklahoma,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,186.9,,,"OK
(35.47203135600046, -97.52107021399968)",HLT,501HLT,520SAE,SAE002,02
2005,OR,Oregon,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,222.7,,,"OR
(44.56744942400047, -120.15503132599969)",HLT,501HLT,520SAE,SAE002,02
2005,PA,Pennsylvania,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,720.1,,,"PA
(40.79373015200048, -77.86070029399963)",HLT,501HLT,520SAE,SAE002,02
2005,RI,Rhode Island,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,68.0,,,"RI
(41.70828019300046, -71.52247031399963)",HLT,501HLT,520SAE,SAE002,02
2005,SC,South Carolina,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,220.2,,,"SC
(33.998821303000454, -81.04537120699968)",HLT,501HLT,520SAE,SAE002,02
2005,SD,South Dakota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,36.6,,,"SD
(44.353130053000484, -100.3735306369997)",HLT,501HLT,520SAE,SAE002,02
2005,TN,Tennessee,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,381.2,,,"TN
(35.68094058000048, -85.77449091399967)",HLT,501HLT,520SAE,SAE002,02
2005,TX,Texas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,1231.7,,,"TX
(31.827240407000488, -99.42677020599967)",HLT,501HLT,520SAE,SAE002,02
2005,UT,Utah,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,61.6,,,"UT
(39.360700171000474, -111.58713063499971)",HLT,501HLT,520SAE,SAE002,02
2005,VT,Vermont,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,38.7,,,"VT
(43.62538123900049, -72.51764079099962)",HLT,501HLT,520SAE,SAE002,02
2005,VA,Virginia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,391.5,,,"VA
(37.54268067400045, -78.45789046299967)",HLT,501HLT,520SAE,SAE002,02
2005,WA,Washington,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,382.5,,,"WA
(47.52227862900048, -120.47001078999972)",HLT,501HLT,520SAE,SAE002,02
2005,WV,West Virginia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,106.3,,,"WV
(38.66551020200046, -80.71264013499967)",HLT,501HLT,520SAE,SAE002,02
2005,WI,Wisconsin,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,376.0,,,"WI
(44.39319117400049, -89.81637074199966)",HLT,501HLT,520SAE,SAE002,02
2005,WY,Wyoming,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,28.5,,,"WY
(43.23554134300048, -108.10983035299967)",HLT,501HLT,520SAE,SAE002,02
2005,US,United States,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,17450.4,,,"US
(38.883, 77.017)",HLT,501HLT,520SAE,SAE002,02
2005,AL,Alabama,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,783.9,,,"AL
(32.84057112200048, -86.63186076199969)",HLT,501HLT,520SAE,SAE003,03
2005,AK,Alaska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,196.0,,,"AK
(64.84507995700051, -147.72205903599973)",HLT,501HLT,520SAE,SAE003,03
2005,AZ,Arizona,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,960.9,,,"AZ
(34.865970280000454, -111.76381127699972)",HLT,501HLT,520SAE,SAE003,03
2005,AR,Arkansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,504.8,,,"AR
(34.74865012400045, -92.27449074299966)",HLT,501HLT,520SAE,SAE003,03
2005,CA,California,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,5308.7,,,"CA
(37.63864012300047, -120.99999953799971)",HLT,501HLT,520SAE,SAE003,03
2005,CO,Colorado,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,748.4,,,"CO
(38.843840757000464, -106.13361092099967)",HLT,501HLT,520SAE,SAE003,03
2005,CT,Connecticut,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,709.7,,,"CT
(41.56266102000046, -72.64984095199964)",HLT,501HLT,520SAE,SAE003,03
2005,DE,Delaware,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,212.6,,,"DE
(39.008830667000495, -75.57774116799965)",HLT,501HLT,520SAE,SAE003,03
2005,DC,District of Columbia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,208.8,,,"DC
(38.89037138500049, -77.03196112699965)",HLT,501HLT,520SAE,SAE003,03
2005,FL,Florida,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,3156.8,,,"FL
(28.932040377000476, -81.92896053899966)",HLT,501HLT,520SAE,SAE003,03
2005,GA,Georgia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1331.6,,,"GA
(32.83968109300048, -83.62758034599966)",HLT,501HLT,520SAE,SAE003,03
2005,HI,Hawaii,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,215.0,,,"HI
(21.304850435000446, -157.85774940299973)",HLT,501HLT,520SAE,SAE003,03
2005,ID,Idaho,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,211.7,,,"ID
(43.682630005000476, -114.3637300419997)",HLT,501HLT,520SAE,SAE003,03
2005,IL,Illinois,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,2432.5,,,"IL
(40.48501028300046, -88.99771017799969)",HLT,501HLT,520SAE,SAE003,03
2005,IN,Indiana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1243.9,,,"IN
(39.766910452000445, -86.14996019399968)",HLT,501HLT,520SAE,SAE003,03
2005,IA,Iowa,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,563.4,,,"IA
(42.46940091300047, -93.81649055599968)",HLT,501HLT,520SAE,SAE003,03
2005,KS,Kansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,469.1,,,"KS
(38.34774030000045, -98.20078122699965)",HLT,501HLT,520SAE,SAE003,03
2005,KY,Kentucky,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,840.5,,,"KY
(37.645970271000465, -84.77497104799966)",HLT,501HLT,520SAE,SAE003,03
2005,LA,Louisiana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,844.3,,,"LA
(31.31266064400046, -92.44568007099969)",HLT,501HLT,520SAE,SAE003,03
2005,ME,Maine,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,343.9,,,"ME
(45.254228894000505, -68.98503133599962)",HLT,501HLT,520SAE,SAE003,03
2005,MD,Maryland,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1094.4,,,"MD
(39.29058096400047, -76.60926011099963)",HLT,501HLT,520SAE,SAE003,03
2005,MA,Massachusetts,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1728.9,,,"MA
(42.27687047000046, -72.08269067499964)",HLT,501HLT,520SAE,SAE003,03
2005,MI,Michigan,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,2089.1,,,"MI
(44.6613195430005, -84.71439026999968)",HLT,501HLT,520SAE,SAE003,03
2005,MN,Minnesota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1042.3,,,"MN
(46.35564873600049, -94.79420050299967)",HLT,501HLT,520SAE,SAE003,03
2005,MS,Mississippi,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,535.7,,,"MS
(32.745510099000455, -89.53803082499968)",HLT,501HLT,520SAE,SAE003,03
2005,MO,Missouri,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1318.8,,,"MO
(38.635790776000476, -92.56630005299968)",HLT,501HLT,520SAE,SAE003,03
2005,MT,Montana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,203.6,,,"MT
(47.06652897200047, -109.42442064499971)",HLT,501HLT,520SAE,SAE003,03
2005,NE,Nebraska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,366.3,,,"NE
(41.6410409880005, -99.36572062299967)",HLT,501HLT,520SAE,SAE003,03
2005,NV,Nevada,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,393.1,,,"NV
(39.493240390000494, -117.07184056399967)",HLT,501HLT,520SAE,SAE003,03
2005,NH,New Hampshire,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,289.2,,,"NH
(43.65595011300047, -71.50036091999965)",HLT,501HLT,520SAE,SAE003,03
2005,NJ,New Jersey,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1614.7,,,"NJ
(40.13057004800049, -74.27369128799967)",HLT,501HLT,520SAE,SAE003,03
2005,NM,New Mexico,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,348.8,,,"NM
(34.52088095200048, -106.24058098499967)",HLT,501HLT,520SAE,SAE003,03
2005,NY,New York,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,4437.8,,,"NY
(42.82700103200045, -75.54397042699964)",HLT,501HLT,520SAE,SAE003,03
2005,NC,North Carolina,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1545.6,,,"NC
(35.466220975000454, -79.15925046299964)",HLT,501HLT,520SAE,SAE003,03
2005,ND,North Dakota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,139.8,,,"ND
(47.47531977900047, -100.11842104899966)",HLT,501HLT,520SAE,SAE003,03
2005,OH,Ohio,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,2545.7,,,"OH
(40.06021014100048, -82.40426005599966)",HLT,501HLT,520SAE,SAE003,03
2005,OK,Oklahoma,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,693.5,,,"OK
(35.47203135600046, -97.52107021399968)",HLT,501HLT,520SAE,SAE003,03
2005,OR,Oregon,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,606.5,,,"OR
(44.56744942400047, -120.15503132599969)",HLT,501HLT,520SAE,SAE003,03
2005,PA,Pennsylvania,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,2675.8,,,"PA
(40.79373015200048, -77.86070029399963)",HLT,501HLT,520SAE,SAE003,03
2005,RI,Rhode Island,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,261.3,,,"RI
(41.70828019300046, -71.52247031399963)",HLT,501HLT,520SAE,SAE003,03
2005,SC,South Carolina,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,794.3,,,"SC
(33.998821303000454, -81.04537120699968)",HLT,501HLT,520SAE,SAE003,03
2005,SD,South Dakota,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,170.2,,,"SD
(44.353130053000484, -100.3735306369997)",HLT,501HLT,520SAE,SAE003,03
2005,TN,Tennessee,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1082.5,,,"TN
(35.68094058000048, -85.77449091399967)",HLT,501HLT,520SAE,SAE003,03
2005,TX,Texas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,3598.0,,,"TX
(31.827240407000488, -99.42677020599967)",HLT,501HLT,520SAE,SAE003,03
2005,UT,Utah,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,221.4,,,"UT
(39.360700171000474, -111.58713063499971)",HLT,501HLT,520SAE,SAE003,03
2005,VT,Vermont,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,160.8,,,"VT
(43.62538123900049, -72.51764079099962)",HLT,501HLT,520SAE,SAE003,03
2005,VA,Virginia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1297.7,,,"VA
(37.54268067400045, -78.45789046299967)",HLT,501HLT,520SAE,SAE003,03
2005,WA,Washington,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1072.5,,,"WA
(47.52227862900048, -120.47001078999972)",HLT,501HLT,520SAE,SAE003,03
2005,WV,West Virginia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,453.4,,,"WV
(38.66551020200046, -80.71264013499967)",HLT,501HLT,520SAE,SAE003,03
2005,WI,Wisconsin,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,1149.7,,,"WI
(44.39319117400049, -89.81637074199966)",HLT,501HLT,520SAE,SAE003,03
2005,WY,Wyoming,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,113.0,,,"WY
(43.23554134300048, -108.10983035299967)",HLT,501HLT,520SAE,SAE003,03
2005,US,United States,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Hospital,$,Millions of Dollars,53556.1,,,"US
(38.883, 77.017)",HLT,501HLT,520SAE,SAE003,03
2005,AL,Alabama,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,370.5,,,"AL
(32.84057112200048, -86.63186076199969)",HLT,501HLT,520SAE,SAE004,04
2005,AK,Alaska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,40.6,,,"AK
(64.84507995700051, -147.72205903599973)",HLT,501HLT,520SAE,SAE004,04
2005,AZ,Arizona,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,370.5,,,"AZ
(34.865970280000454, -111.76381127699972)",HLT,501HLT,520SAE,SAE004,04
2005,AR,Arkansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,190.0,,,"AR
(34.74865012400045, -92.27449074299966)",HLT,501HLT,520SAE,SAE004,04
2005,CA,California,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,1883.2,,,"CA
(37.63864012300047, -120.99999953799971)",HLT,501HLT,520SAE,SAE004,04
2005,CO,Colorado,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Prescription Drugs,$,Millions of Dollars,231.3,,,"CO
(38.843840757000464, -106.13361092099967)",HLT,501HLT,520SAE,SAE004,04
